area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","5","5. >6 เที่ยว/วัน",1,7,9.59
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","1","1. ต่อจากแหล่งน้ำธรรมชาติ (ประปาภูเขา/ลำธาร)",6,979,60.32
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","2","2. สูบจากบ่อ/สระ/บาดาลของชุมชน",5,218,13.43
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","3","3. สูบจากบ่อ/สระ/บาดาลของโรงเรียน",4,446,27.48
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","4","4. ประปาหมู่บ้าน/ชุมชน",3,229,14.11
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","5","5. ประปา อปท.",2,61,3.76
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","6","6. ประปาส่วนภูมิภาค",1,71,4.37
"พื้นที่สูง",2565,7,"แหล่งน้ำ","multiset","blank","(ไม่ได้กรอก)",,26,1.6
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","1","1. ต่อจากแหล่งน้ำธรรมชาติ (ประปาภูเขา/ลำธาร)",6,82,35.96
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","2","2. สูบจากบ่อ/สระ/บาดาลของชุมชน",5,45,19.74
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","3","3. สูบจากบ่อ/สระ/บาดาลของโรงเรียน",4,66,28.95
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","4","4. ประปาหมู่บ้าน/ชุมชน",3,52,22.81
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","5","5. ประปา อปท.",2,15,6.58
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","6","6. ประปาส่วนภูมิภาค",1,17,7.46
"พื้นที่สูง",2566,7,"แหล่งน้ำ","multiset","blank","(ไม่ได้กรอก)",,12,5.26
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","1","1. ต่อจากแหล่งน้ำธรรมชาติ (ประปาภูเขา/ลำธาร)",6,9,14.75
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","2","2. สูบจากบ่อ/สระ/บาดาลของชุมชน",5,13,21.31
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","3","3. สูบจากบ่อ/สระ/บาดาลของโรงเรียน",4,21,34.43
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","4","4. ประปาหมู่บ้าน/ชุมชน",3,17,27.87
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","5","5. ประปา อปท.",2,6,9.84
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","6","6. ประปาส่วนภูมิภาค",1,6,9.84
"พื้นที่สูง",2567,7,"แหล่งน้ำ","multiset","blank","(ไม่ได้กรอก)",,9,14.75
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","1","1. ต่อจากแหล่งน้ำธรรมชาติ (ประปาภูเขา/ลำธาร)",6,16,21.92
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","2","2. สูบจากบ่อ/สระ/บาดาลของชุมชน",5,6,8.22
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","3","3. สูบจากบ่อ/สระ/บาดาลของโรงเรียน",4,22,30.14
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","4","4. ประปาหมู่บ้าน/ชุมชน",3,23,31.51
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","5","5. ประปา อปท.",2,2,2.74
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","6","6. ประปาส่วนภูมิภาค",1,3,4.11
"พื้นที่สูง",2569,7,"แหล่งน้ำ","multiset","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,8,"ไฟฟ้า","multiset","1","1. พลังงานทางเลือก (โซลาร์/ลม/น้ำ/เครื่องปั่นไฟ)",3,253,15.59
"พื้นที่สูง",2565,8,"ไฟฟ้า","multiset","2","2. ไฟฟ้าส่วนภูมิภาค",0,1441,88.79
"พื้นที่สูง",2565,8,"ไฟฟ้า","multiset","blank","(ไม่ได้กรอก)",,26,1.6
"พื้นที่สูง",2566,8,"ไฟฟ้า","multiset","1","1. พลังงานทางเลือก (โซลาร์/ลม/น้ำ/เครื่องปั่นไฟ)",3,11,4.82
"พื้นที่สูง",2566,8,"ไฟฟ้า","multiset","2","2. ไฟฟ้าส่วนภูมิภาค",0,213,93.42
