area,item_no,item_short,measure,answer,points,n,pct,item_max,variance_share_pct,D
"พื้นที่สูง",12,"จำนวนกลุ่มชาติพันธุ์","count","3 กลุ่ม",,202,13.64,5,2.91,0.16
"พื้นที่สูง",12,"จำนวนกลุ่มชาติพันธุ์","count","4 กลุ่ม",,133,8.98,5,2.91,0.16
"พื้นที่สูง",12,"จำนวนกลุ่มชาติพันธุ์","count","≥ 5 กลุ่ม",,136,9.18,5,2.91,0.16
"พื้นที่สูง",13,"นักเรียนยากจน","count","0 คน",,80,5.4,5,7.41,0.35
"พื้นที่สูง",13,"นักเรียนยากจน","count","1–20",,202,13.64,5,7.41,0.35
"พื้นที่สูง",13,"นักเรียนยากจน","count","21–50",,345,23.3,5,7.41,0.35
"พื้นที่สูง",13,"นักเรียนยากจน","count","51–100",,371,25.05,5,7.41,0.35
"พื้นที่สูง",13,"นักเรียนยากจน","count","101–200",,311,21,5,7.41,0.35
"พื้นที่สูง",13,"นักเรียนยากจน","count","≥ 201",,172,11.61,5,7.41,0.35
"พื้นที่สูง",14,"นักเรียนพักนอน","count","0 คน",,1054,71.17,5,7.64,0.33
"พื้นที่สูง",14,"นักเรียนพักนอน","count","1–10",,67,4.52,5,7.64,0.33
"พื้นที่สูง",14,"นักเรียนพักนอน","count","11–30",,141,9.52,5,7.64,0.33
"พื้นที่สูง",14,"นักเรียนพักนอน","count","31–50",,85,5.74,5,7.64,0.33
"พื้นที่สูง",14,"นักเรียนพักนอน","count","≥ 51",,134,9.05,5,7.64,0.33
"พื้นที่สูง",15,"สาขา","count","ไม่มีสาขา",,1354,91.42,5,3.55,0.14
"พื้นที่สูง",15,"สาขา","count","1 แห่ง",,95,6.41,5,3.55,0.14
"พื้นที่สูง",15,"สาขา","count","2 แห่ง",,12,0.81,5,3.55,0.14
"พื้นที่สูง",15,"สาขา","count","≥ 3 แห่ง",,20,1.35,5,3.55,0.14
"พื้นที่สูง",16,"ประกาศคลัง","binary","1. ใช่",5,523,35.31,5,17.86,0.87
